"API Name","Action","Populated On(Total Record)","Is Required?","Type","Label"
"Instrument_PO_Date__c","keep","1.0","False","DATE","Instrument PO Date"
"Instrument__c","keep","1.0","False","STRING","Instrument"
"Instruments_Product__c","keep","5690.0","False","BOOLEAN","Instruments Product"
"Internal_Resource_Support_Date__c","remove_zero_populated_not_required","0.0","False","DATE","Internal Resource Support Date"
"IsAlertShown__c","remove_zero_populated_not_required","0.0","False","BOOLEAN","IsAlertShown"
"IsOpp_Updated__c","remove_zero_populated_not_required","0.0","False","BOOLEAN","IsOpp Updated"
"IsPDXDivision__c","remove_zero_populated_not_required","0.0","False","BOOLEAN","IsPDXDivision"
"Is_Converted__c","remove_zero_populated_not_required","0.0","False","BOOLEAN","Is Converted"
"Is_Opportunity_Owner_Level_2_Manager__c","keep","62266.0","True","BOOLEAN(Formula)","Is Opportunity Owner Level 2 Manager?"
"Is_Opportunity_Owner_Manager__c","keep","62266.0","True","BOOLEAN(Formula)","Is Opportunity Owner Level 1 Manager?"
"Is_Opportunity_Owner__c","keep","62266.0","True","BOOLEAN(Formula)","Is Opportunity Owner?"
"Is_Owner_Governed_by_WC__c","keep","62266.0","True","BOOLEAN(Formula)","Is Owner Governed by WC"
"JP_IDD_Division__c","keep","62266.0","False","STRING","Opportunity Div"
"Kryptor_Compact_Plus_Qty__c","remove_zero_populated_not_required","0.0","False","DOUBLE","Kryptor Compact Plus (Qty)"
"Kryptor_Gold_Qty__c","remove_zero_populated_not_required","0.0","False","DOUBLE","Kryptor Gold (Qty)"
"LIS_Middleware__c","keep","47.0","False","STRING","LIS/Middleware"
"Lab_or_Clinical__c","keep","21.0","False","STRING","Lab or Clinical"
"Last_Scheduled_Date__c","keep","31654.0","False","DATE","Last Scheduled Date"
"Last_Stage_before_Closed_Lost__c","keep","1.0","False","STRING","Last Stage before Closed Lost"
"Last_User_Action_Time_Stamp__c","keep","55506.0","False","DATETIME","Last User Action Time Stamp"
"Lead_Comments_Rich__c","keep","126.0","False","STRING","Lead Comment"
"Lead_Generator_s_Department__c","keep","169.0","False","STRING","Lead Generator's Department"
"Lead_Generator_s_Division__c","keep","2279.0","False","STRING","Lead Generator's Division"
"Lead_Generator_s_Email__c","keep","2283.0","False","STRING","Lead Generator's Email"
"Lead_Name__c","remove_zero_populated_not_required","0.0","False","ID","Lead Name"
"Lead_Owner_Shared_Lead__c","keep","10.0","False","ID","Lead Owner (Shared Lead)"
"Lead_Share_With__c","keep","7.0","False","ID","Lead Share With"
